Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Metz Elementary,78702,03/26/2019,94,"84 ROBERT T MARTINEZ JR ST
AUSTIN, TX 78702
(30.254487, -97.721298)",2800495,Routine Inspection
LW - CVS Pharmacy #80,78734,03/12/2021,95,"2306 S FM 620 RD
LAKEWAY, TX 78734",10006331,Routine Inspection
"Magellan International School, The",78731,04/16/2019,100,"7130 CHIMNEY CORNERS
AUSTIN, TX 78731
(30.357964, -97.760539)",10438602,Routine Inspection
Del Valle Donuts,78617,09/21/2020,96,"12800 PEARCE LN
AUSTIN, TX 78617
(30.169003, -97.622158)",10292321,Routine Inspection
Popeyes # 305 - Z & H Inc,78741,02/09/2021,94,"2919 MONTOPOLIS DR
AUSTIN, TX 78741
(30.214013, -97.711105)",11423173,Routine Inspection
International House of Pancakes,78701,01/13/2020,93,"707 E CESAR CHAVEZ ST
AUSTIN, TX 78701
(30.261286, -97.736966)",2803009,Routine Inspection
MN - Apple Express,78653,09/18/2019,85,"12401 TILLGANG PASS
MANOR, TX 78653",11650292,Routine Inspection
PF - Rio Grande Tex Mex,78660,05/13/2021,88,"15821 CENTRAL COMMERCE DR
PFLUGERVILLE, TX 78660
(30.45037, -97.655136)",12186579,Routine Inspection
Walgreens # 09679,78753,03/26/2019,98,"12601 TECH RIDGE BLVD
AUSTIN, TX 78753
(30.399047, -97.660473)",2804085,Routine Inspection
Westminster Manor,78731,02/13/2020,90,"4100 JACKSON AVE
AUSTIN, TX 78731
(30.314499, -97.755166)",2800365,Routine Inspection
Barbarella,78701,01/31/2019,86,"611 RED RIVER ST
AUSTIN, TX 78701
(30.267097, -97.736981)",10529722,Routine Inspection
Grand Lux Cafe,78758,01/08/2019,84,"11506 CENTURY OAKS TER
AUSTIN, TX 78758
(30.402485, -97.72553)",11624807,Routine Inspection
BC - Faraday's Kitchen Store,78738,04/01/2020,100,"12918 SHOPS PKWY
BEE CAVE, TX 78738
(30.306709, -97.944897)",10925976,Routine Inspection
Grey Rock Golf Club,78739,06/05/2020,77,"7401 SH
AUSTIN, TX 78739",11174208,Routine Inspection
OOB - Sonic Drive-In #6,78745,08/13/2018,92,"804 W STASSNEY LN
AUSTIN, TX 78745
(30.209124, -97.783901)",2800585,Routine Inspection
Moreliana Meat Market,78744,06/05/2019,77,"5405 S PLEASANT VALLEY RD
AUSTIN, TX 78744
(30.193433, -97.744567)",11674086,Routine Inspection
"Goddard School, The",78739,10/13/2020,95,"12101 ARCHELETA BLVD
AUSTIN, TX 78739",12392978,Routine Inspection
360 Uno,78746,05/26/2021,84,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.336732, -97.805146)",11358302,Routine Inspection
Dunkin Donuts,78759,02/05/2020,92,"12200 RESEARCH BLVD
AUSTIN, TX 78759
(30.425921, -97.753486)",10861871,Routine Inspection
Springhill Restaurant,78660,01/22/2019,84,"2505 W PECAN ST
AUSTIN, TX 78660
(30.447602, -97.653521)",2800673,Routine Inspection
Little Munchkins Learning Ctr,78758,10/07/2019,95,"2020 DENTON DR
AUSTIN, TX 78758
(30.385555, -97.713523)",10708803,Routine Inspection
Total Wine & More,78723,09/05/2018,98,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.306845, -97.709573)",11768775,Routine Inspection
Tender Memories Learning Center,78745,12/02/2020,97,"308 W STASSNEY LN
AUSTIN, TX 78745
(30.206706, -97.77795)",10243922,Routine Inspection
"LW - Grove Wine Bar & Kitchen, The",78738,02/19/2019,93,"3001 S FM 620 RD
LAKEWAY, TX 78738",10957424,Routine Inspection
RW - Chinatown,78746,05/28/2020,73,"2712 BEE CAVES RD
ROLLINGWOOD, TX 78746
(30.270917, -97.78683)",11087574,Follow-Up Inspection
Texas Food Mart,78744,08/25/2020,96,"7612 BLUFF SPRINGS RD
AUSTIN, TX 78744
(30.17446, -97.7692)",2803914,Routine Inspection
LW - Firehouse Subs,78734,09/21/2020,99,"900 S FM 620 RD
LAKEWAY, TX 78734",10964761,Routine Inspection
Lavaca Street Bar,78701,09/27/2018,93,"405 LAVACA ST
AUSTIN, TX 78701
(30.26729, -97.74574)",2801820,Routine Inspection
Mary's Cafe,78705,09/27/2018,93,"3209 RED RIVER ST
AUSTIN, TX 78705
(30.291429, -97.726983)",11239485,Routine Inspection
Target (Food Service) T-1061,78749,06/10/2021,97,"5300 S MOPAC EXPY
AUSTIN, TX 78749",2801124,Routine Inspection
CVS/Pharmacy #7210,78745,10/31/2019,100,"1901 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.202651, -97.805566)",2804018,Routine Inspection
Wal-Mart Supercenter/Meat&Produce #1185,78753,01/02/2019,93,"1030 NORWOOD PARK BLVD
AUSTIN, TX 78753
(30.33872, -97.692623)",2803919,Routine Inspection
SV - Texadelphia,78745,09/17/2018,77,"5400 BRODIE LN
SUNSET VALLEY, TX 78745
(30.227718, -97.82159)",10849197,Routine Inspection
LW - Thai Spice,78734,04/17/2019,87,"2121 LOHMANS CROSSING RD
LAKEWAY, TX 78734
(30.34188, -97.970376)",10792531,Routine Inspection
Domino's,78727,11/10/2020,93,"1700 W PARMER LN
AUSTIN, TX 78727
(30.412512, -97.688909)",11075558,Routine Inspection
Serrano's Cafe Lakeline,78613,09/24/2019,82,"11100 PECAN PARK BLVD
AUSTIN, TX 78613
(30.472504, -97.802231)",2802680,Routine Inspection
BJ's Restaurant & Brewhouse,78759,02/08/2021,86,"10515 N MOPAC EXPY
AUSTIN, TX 78759
(30.392572, -97.732892)",10575343,Routine Inspection
Mr. Catfish and More,78702,04/01/2021,88,"1144 AIRPORT BLVD
AUSTIN, TX 78702
(30.272293, -97.697526)",10808945,Routine Inspection
Popeye's #325 - Z & H Foods Inc.,78741,02/09/2021,92,"2320 E RIVERSIDE DR
AUSTIN, TX 78741
(30.237459, -97.725513)",11637630,Routine Inspection
Fire Bowl Cafe,78613,05/31/2019,97,"13000 N FM 620 RD
AUSTIN, TX 78613",11667242,Routine Inspection
Torchy's Tacos,78704,04/15/2021,86,"3005 S LAMAR BLVD
AUSTIN, TX 78704
(30.242104, -97.784431)",10558516,Routine Inspection
Express Food Mart #5,78660,08/26/2019,89,"2925 W PECAN ST
AUSTIN, TX 78660
(30.449332, -97.660671)",10771946,Routine Inspection
Burnet Food Mart,78756,03/11/2021,94,"5300 BURNET RD
AUSTIN, TX 78756
(30.326062, -97.739701)",2803497,Routine Inspection
"Rolling Rooster, The",78702,03/09/2021,84,"1104 E 11TH ST
AUSTIN, TX 78702
(30.268974, -97.728671)",12392727,Routine Inspection
EZ Food Stores,78736,12/11/2018,91,"9520 W US 290 HWY
AUSTIN, TX 78736
(30.230603, -97.933813)",11424422,Routine Inspection
Juiceland,78704,04/22/2021,92,"2210 S 1ST ST
AUSTIN, TX 78704
(30.243871, -97.758094)",11919423,Routine Inspection
NG Cafe,78753,09/06/2019,92,"13000 N IH
AUSTIN, TX 78753",11845758,Routine Inspection
Moonlight,78701,02/28/2019,76,"309 E 6TH ST
AUSTIN, TX 78701
(30.267266, -97.739986)",10903347,Routine Inspection
"Paradise on Ice, LLC",78757,06/25/2021,96,"8820 BURNET RD
AUSTIN, TX 78757
(30.370703, -97.72705)",12185982,Routine Inspection
Thundercloud Subs,78704,04/22/2019,87,"201 E RIVERSIDE DR
AUSTIN, TX 78704
(30.255294, -97.745068)",2800621,Routine Inspection
Taco Bell #030153,78723,07/10/2019,94,"5604 CAMERON RD
AUSTIN, TX 78723
(30.313767, -97.704064)",11066732,Routine Inspection
Mia Chocolates LLC,78733,08/13/2018,100,"1102 N CUERNAVACA DR
AUSTIN, TX 78733
(30.33473, -97.866363)",11765454,Routine Inspection
Kebabalicious,78702,08/23/2019,93,"1311 E 7TH ST
AUSTIN, TX 78702
(30.264698, -97.728228)",11039598,Routine Inspection
Dobie Mall - Burrito Factory,78705,06/15/2021,91,"2025 GUADALUPE ST
AUSTIN, TX 78705
(30.283744, -97.741965)",11309583,Routine Inspection
Fresh Heim,78750,01/15/2019,91,"13776 N US 183 HWY
AUSTIN, TX 78750",11267435,Routine Inspection
Jaimes Foods,78731,09/18/2019,97,"2823 HANCOCK DR
AUSTIN, TX 78731
(30.327921, -97.749765)",11059948,Routine Inspection
Orange Market,78705,06/06/2019,80,"910 W 25TH ST
AUSTIN, TX 78705
(30.289462, -97.747339)",10519741,Routine Inspection
Sunrise Mini Mart,78757,03/06/2020,92,"1809 W ANDERSON LN
AUSTIN, TX 78757
(30.353456, -97.725327)",2803500,Routine Inspection
McCallum High School,78756,12/06/2019,100,"5600 SUNSHINE DR
AUSTIN, TX 78756
(30.325973, -97.72931)",2800177,Routine Inspection
Elysium,78701,01/08/2020,90,"705 RED RIVER ST
AUSTIN, TX 78701
(30.267736, -97.736749)",2801938,Routine Inspection
Mama Mia Chocolates LLC,78733,07/27/2020,100,"1104 N CUERNAVACA DR
AUSTIN, TX 78733
(30.334999, -97.866137)",12185633,Routine Inspection
Hampton Inn,78749,12/20/2018,100,"6401 W US 290 HWY
AUSTIN, TX 78749",10882011,Routine Inspection
Mama Fu's Asian House,78748,07/13/2021,92,"9600 S IH
AUSTIN, TX 78748",12393997,Routine Inspection
Encompass Health Rehabilitation Hospital of Austin,78704,12/11/2020,94,"330 W BEN WHITE BLVD
AUSTIN, TX 78704
(30.225443, -97.76661)",12155982,Routine Inspection
Blackshear Elementary,78702,08/27/2019,96,"1712 E 11TH ST
AUSTIN, TX 78702
(30.266717, -97.722433)",2800346,Routine Inspection
Darwin's Pub,78701,10/09/2019,86,"223 E 6TH ST
AUSTIN, TX 78701
(30.267424, -97.74057)",2801918,Routine Inspection
Osio,78746,02/10/2020,92,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.255443, -97.810066)",11321694,Routine Inspection
Scenic Brook Food Mart,78735,10/11/2018,92,"7216 W SH
AUSTIN, TX 78735",2803458,Routine Inspection
Austin's Pizza-Index Hospitality,78703,05/21/2019,82,"1600 W 35TH ST
AUSTIN, TX 78703
(30.307323, -97.750883)",10236812,Routine Inspection
Chipotle Mexican Grill #1008,78748,05/30/2019,97,"9600 S IH
AUSTIN, TX 78748",10178947,Routine Inspection
Soup Peddler Lamar,78704,10/02/2020,95,"2801 S LAMAR BLVD
AUSTIN, TX 78704
(30.243957, -97.781825)",10516435,Routine Inspection
Texaco-Citgo,78660,02/20/2019,78,"13701 N IH
AUSTIN, TX 78660",2803524,Routine Inspection
Pedernales Country Store,78669,01/30/2020,86,"910 S PACE BEND RD
BRIARCLIFF, TX 78669
(30.40528, -98.062105)",10359921,Routine Inspection
Juliet,78704,10/16/2020,88,"1500 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.261598, -97.760135)",11369351,Routine Inspection
OOB Gammad Oriental Store,78727,12/11/2018,94,"2309 W PARMER LN
AUSTIN, TX 78727
(30.41803, -97.700509)",11104406,Routine Inspection
Courtyard Hotel,78750,04/16/2019,78,"12833 N FM 620 RD
AUSTIN, TX 78750",11904478,Routine Inspection
Taco Bell #030157,78753,07/13/2021,93,"1016 E ANDERSON LN
AUSTIN, TX 78753
(30.33674, -97.694535)",11066724,Routine Inspection
BC - Schlotzsky's,78738,05/13/2020,100,"3944 S FM 620 RD
BEE CAVE, TX 78738",11868953,Routine Inspection
Lee Elementary School,78705,11/05/2020,99,"3308 HAMPTON RD
AUSTIN, TX 78705
(30.293312, -97.727079)",2800109,Routine Inspection
EPIC POKE,78723,04/29/2021,93,"6448 E US
AUSTIN, TX 78723
(30.295179, -97.740547)",12185773,Routine Inspection
Rosita Kitchen,78734,10/15/2019,100,"5000 HUDSON BEND RD
AUSTIN, TX 78734
(30.412377, -97.926997)",11917440,Routine Inspection
Gus Garcia Young Men's Leadership Academy,78724,04/01/2021,95,"7414 JOHNNY MORRIS RD
AUSTIN, TX 78724
(30.310982, -97.640492)",10065968,Routine Inspection
Onnit Academy,78744,09/06/2018,96,"4401 FREIDRICH LN
AUSTIN, TX 78744
(30.2091, -97.750215)",11274088,Routine Inspection
Best Western Plus Austin Central,78751,10/31/2018,92,"919 E KOENIG LN
AUSTIN, TX 78751
(30.321125, -97.708674)",11461792,Routine Inspection
Accent Food Services,78754,12/19/2018,100,"9200 WALL ST
AUSTIN, TX 78754
(30.343621, -97.669094)",11566495,Routine Inspection
Panda Express #1651,78749,06/19/2020,100,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.222178, -97.838856)",10145377,Routine Inspection
Beto's Restaurant,78745,08/28/2019,86,"1940 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.202831, -97.805822)",12111122,Routine Inspection
Rhino Room,78702,11/15/2018,97,"1012 E 6TH ST
AUSTIN, TX 78702
(30.264856, -97.731799)",11335349,Routine Inspection
Cookbook Cafe,78701,07/18/2019,96,"710 W CESAR CHAVEZ ST
AUSTIN, TX 78701
(30.265509, -97.751941)",11945012,Routine Inspection
MN - Shipley Donuts,78653,06/08/2020,83,"11300 E US 290 HWY
MANOR, TX 78653
(30.349015, -97.554111)",11526883,Routine Inspection
La Barbecue,78702,04/21/2021,94,"2027 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.256318, -97.722342)",11768666,Routine Inspection
Jack in the Box #906,78729,09/01/2020,97,"7404 MC NEIL DR
AUSTIN, TX 78729
(30.43463, -97.768893)",10789961,Routine Inspection
Two Spoons,78735,09/18/2019,96,"7212 W SH
AUSTIN, TX 78735",11825080,Routine Inspection
El Naranjo Restaurant,78701,06/11/2019,92,"85 RAINEY ST
AUSTIN, TX 78701
(30.259614, -97.738471)",10722794,Routine Inspection
Wells Branch Leadership Academy,78728,09/20/2019,98,"15201 BURNET RD
AUSTIN, TX 78728
(30.458629, -97.695018)",11818097,Routine Inspection
Cabo Bob's Burritos,78705,06/25/2019,87,"2828 RIO GRANDE ST
AUSTIN, TX 78705
(30.295689, -97.743901)",11026344,Routine Inspection
Paleface Grocery,78669,12/07/2020,89,"23526 W SH
SPICEWOOD, TX 78669",2801077,Routine Inspection
Little Sunshine's Playhouse and Preschool,78726,01/06/2021,99,"7710 N FM 620 RD
AUSTIN, TX 78726
(30.410721, -97.850447)",12393157,Routine Inspection
Baretto,78759,08/03/2020,100,"10710 RESEARCH BLVD
AUSTIN, TX 78759
(30.398661, -97.746468)",11555304,Routine Inspection
"Wingman Kitchens, LLC",78721,09/22/2020,90,"1023 SPRINGDALE RD
AUSTIN, TX 78721
(30.267919, -97.694035)",12185791,Routine Inspection
Austin Daily Press,78722,07/26/2019,86,"1900 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78722
(30.279823, -97.721055)",10816913,Routine Inspection
Brooklyn Heights Pizzeria,78717,03/24/2020,83,"14900 AVERY RANCH BLVD
AUSTIN, TX 78717
(30.497655, -97.777084)",10101590,Routine Inspection
Hawaiian Bros.,78757,10/05/2020,89,"8023 BURNET RD
AUSTIN, TX 78757
(30.359155, -97.73005)",12392947,Routine Inspection
Smokey Mo's BBQ,78727,07/31/2020,91,"6001 W PARMER LN
AUSTIN, TX 78727
(30.441937, -97.74148)",10776533,Routine Inspection
LW - Randall's #1779,78734,09/30/2019,96,"2301 S FM 620 RD
LAKEWAY, TX 78734",2803782,Routine Inspection
Five Guys Burgers and Fries # 450,78759,03/15/2021,99,"10000 RESEARCH BLVD
AUSTIN, TX 78759
(30.392352, -97.746845)",12393818,Routine Inspection
Revival Coffee,78702,06/24/2019,99,"1405 E 7TH ST
AUSTIN, TX 78702
(30.264508, -97.727667)",11903276,Routine Inspection
"Phil's Ice House, Inc",78704,06/24/2021,90,"2901 S LAMAR BLVD
AUSTIN, TX 78704
(30.243347, -97.782677)",10516513,Routine Inspection
Master Donuts,78741,12/05/2019,94,"1725 E RIVERSIDE DR
AUSTIN, TX 78741
(30.24371, -97.729736)",12145559,Routine Inspection
BC - Cinemark Hill Country,78738,09/04/2020,99,"12812 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.309133, -97.940744)",10260645,Routine Inspection
McDonald's # 12430,78731,04/29/2020,100,"5762 N MOPAC EXPY
AUSTIN, TX 78731
(30.339003, -97.754988)",12045842,Routine Inspection
Golden Chick,78753,04/13/2020,93,"9600 N LAMAR BLVD
AUSTIN, TX 78753
(30.365544, -97.695617)",11037284,Routine Inspection
Little Folks Bilingual CDC,78723,11/04/2019,100,"5706 REICHER DR
AUSTIN, TX 78723
(30.303247, -97.67723)",2800970,Routine Inspection
Taco Bell #30081,78726,03/05/2019,96,"7515 N FM 620 RD
AUSTIN, TX 78726
(30.408153, -97.851747)",11066752,Routine Inspection
Houston Elementary School,78744,10/16/2018,97,"5409 PONCIANA DR
AUSTIN, TX 78744
(30.198004, -97.755621)",2800437,Routine Inspection
Wells Food Store & Cafe,78702,11/20/2018,92,"1918 ROSEWOOD AVE
AUSTIN, TX 78702
(30.269834, -97.718232)",11103762,Routine Inspection
Tierra Linda Taqueria,78757,07/30/2019,98,"8540 RESEARCH BLVD
AUSTIN, TX 78757
(30.360701, -97.716962)",10210553,Routine Inspection
Heritage at Gaines Ranch - Retail,78735,10/21/2019,100,"4409 GAINES RANCH LOOP
AUSTIN, TX 78735
(30.241814, -97.815927)",2803727,Routine Inspection
Halal Bros,78726,07/27/2020,86,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4545, -97.82678)",12032982,Routine Inspection
Berryaustin 2 Go,78701,10/17/2019,96,"200 CONGRESS AVE
AUSTIN, TX 78701
(30.264676, -97.744055)",10550264,Routine Inspection
Star Papa,78737,11/20/2019,100,"11601 W US 290 HWY
AUSTIN, TX 78737
(30.216371, -97.964091)",11601205,Routine Inspection
Hay Elotes,78660,07/20/2020,86,"1200 W HOWARD LN
AUSTIN, TX 78660",11299017,Routine Inspection
Barbara Jordan Elem School,78724,04/05/2019,96,"6711 JOHNNY MORRIS RD
AUSTIN, TX 78724
(30.300838, -97.647835)",2800461,Routine Inspection
OOB-Walnut Market #2,78723,06/18/2019,91,"5517 CAMERON RD
AUSTIN, TX 78723
(30.313444, -97.704478)",10031959,Follow-Up Inspection
"Phil's Ice House, Inc",78704,11/18/2020,91,"2901 S LAMAR BLVD
AUSTIN, TX 78704
(30.243347, -97.782677)",10516513,Routine Inspection
El Pollo Rico #13,78745,07/30/2020,82,"110 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19287, -97.77775)",12185836,Routine Inspection
Siena Restaurant at Bull Creek,78731,10/11/2019,89,"6203 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
(30.360309, -97.790126)",2801518,Routine Inspection
Windsor Nursing and Rehabilitation Center of Duval,78727,02/10/2020,84,"5301 DUVAL RD
AUSTIN, TX 78727
(30.41769, -97.742447)",12061709,Routine Inspection
Rutland Food Store,78758,03/21/2019,97,"1747 RUTLAND DR
AUSTIN, TX 78758
(30.377273, -97.710083)",10036187,Routine Inspection
MN - Good Luck Grill,78653,11/17/2020,90,"14605 N FM 973 RD
MANOR, TX 78653
(30.374607, -97.529872)",10079872,Routine Inspection
Virginia L Brown Sr. Nutrition Program,78752,12/13/2018,96,"7500 BLESSING AVE
AUSTIN, TX 78752
(30.331949, -97.693032)",10039193,Routine Inspection
Taco Cabana #129,78741,06/11/2021,89,"2507 E RIVERSIDE DR
AUSTIN, TX 78741
(30.23403, -97.723776)",2800922,Routine Inspection
Hana World Market - Supermarket,78727,07/19/2021,89,"1700 W PARMER LN
AUSTIN, TX 78727
(30.412512, -97.688909)",10676999,Routine Inspection
Circle K #2742420,78745,12/01/2020,86,"1405 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.200463, -97.799243)",2803580,Routine Inspection
Villa Pizza (Food Court),78746,10/10/2019,85,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.255443, -97.810066)",2801072,Routine Inspection
Bender Bar and Grill,78745,02/24/2021,87,"321 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.224364, -97.76699)",10080957,Routine Inspection
Starbucks,78741,11/08/2018,98,"2300 ORACLE WAY
AUSTIN, TX 78741",11864160,Routine Inspection
Rusty Cannon Pub,78745,06/12/2020,83,"730 W STASSNEY LN
AUSTIN, TX 78745
(30.209029, -97.78292)",11459172,Routine Inspection
